player,tour,steal_charting
Caroline Garcia,w,15.8
Caroline Wozniacki,w,22.3
Casper Ruud,m,28.2
Catherine Cartan Bellis,w,20.4
Caty Mcnally,w,20.1
Cedric Pioline,m,20.4
Celine Naef,w,22.1
Chloe Paquet,w,18.4
Chris Evert,w,32.3
Chris Woodruff,m,12.8
Christina Mchale,w,28.7
Christopher Eubanks,m,12.1
Christopher Oconnell,m,24.0
Claire Liu,w,23.1
Clara Burel,w,54.3
Clara Tauson,w,42.1
Claudia Kohde Kilsch,w,13.6
Coco Gauff,w,19.9
Coco Vandeweghe,w,8.9
Conchita Martinez,w,30.4
Constant Lestienne,m,51.6
Corentin Moutet,m,89.6
Cristian Garin,m,19.4
Cristina Bucsa,w,30.3
Dalma Galfi,w,27.1
Damir Dzumhur,m,43.5
Daniel Altmaier,m,34.5
Daniel Dutra Da Silva,m,38.5
Daniel Elahi Galan,m,25.2
Daniel Evans,m,38.5
Daniel Gimeno Traver,m,25.5
Daniela Hantuchova,w,26.8
Danielle Collins,w,28.6
Daniil Medvedev,m,25.2
Danka Kovinic,w,34.3
Daria Kasatkina,w,28.2
Daria Saville,w,52.2
Darja Semenistaja,w,25.7
Darja Vidmanova,w,22.3
David Ferrer,m,15.7
David Goffin,m,16.3
David Nalbandian,m,28.5
David Wheaton,m,36.4
Davide Sanguinetti,m,20.9
Dayana Yastremska,w,28.2
Denis Istomin,m,21.0
Denis Kudla,m,22.1
Denis Shapovalov,m,19.7
Dennis Novak,m,32.2
Diana Shnaider,w,25.9
Diane Parry,w,24.6
Diego Schwartzman,m,24.3
Dinara Safina,w,23.5
Dino Prizmic,m,23.5
Dmitry Popko,m,9.4
Dmitry Tursunov,m,36.2
Dominic Stricker,m,40.4
Dominic Thiem,m,28.4
Dominik Hrbaty,m,5.5
Dominik Koepfer,m,21.0
Dominika Cibulkova,w,22.9
Donald Young,m,9.0
Donna Vekic,w,59.1
Dudi Sela,m,39.5
Dusan Lajovic,m,24.5
Dustin Brown,m,88.7
Egor Gerasimov,m,19.7
Ekaterina Alexandrova,w,11.4
Ekaterine Gorgodze,w,101.3
Elena Dementieva,w,17.4
Elena Gabriela Ruse,w,21.2
Elena Rybakina,w,18.1
Elena Vesnina,w,21.7
Elias Ymer,m,20.9
Elina Avanesyan,w,44.4
Elina Svitolina,w,22.2
Eliot Spizzirri,m,14.2
Elisabetta Cocciaretto,w,13.8
Elise Mertens,w,40.5
Elliot Benchetrit,m,46.4
Elmer Moller,m,16.8
Elsa Jacquemot,w,92.8
Emerson Jones,w,30.8
Emil Ruusuvuori,m,14.3
Emiliana Arango,w,20.4
Emilio Nava,m,14.0
Emilio Sanchez,m,40.1
Emma Navarro,w,23.2
Emma Raducanu,w,21.8
Erika Andreeva,w,34.8
Ernests Gulbis,m,43.0
Ethan Quinn,m,27.2
Eugenie Bouchard,w,13.8
Eva Lys,w,6.5
Eva Vedder,w,33.1
Evgeniya Rodina,w,17.4
Evgeny Donskoy,m,16.2
Fabian Marozsan,m,38.7
Fabio Fognini,m,29.4
Fabrice Santoro,m,43.2
Facundo Bagnis,m,44.1
Facundo Diaz Acosta,m,48.6
Federico Coria,m,27.0
Federico Delbonis,m,16.9
Feliciano Lopez,m,27.1
Felix Auger Aliassime,m,16.2
Felix Mantilla,m,28.7
Fernando Gonzalez,m,38.0
Fernando Verdasco,m,19.1
Filip Krajinovic,m,23.3
Filip Misolic,m,46.0
Filippo Volandri,m,21.4
Fiona Ferro,w,30.8
Flavia Pennetta,w,25.7
Flavio Cobolli,m,30.1
Florian Mayer,m,35.7
Frances Tiafoe,m,27.8
Francesca Schiavone,w,30.5
Francisco Cerundolo,m,29.6
Francisco Comesana,m,37.7
Franco Squillari,m,37.6
Gabriel Diallo,m,22.8
Gabriela Sabatini,w,25.6
Gael Monfils,m,21.4
Garbine Muguruza,w,10.7
Gaston Gaudio,m,39.7
Georgina Garcia Perez,w,44.3
