tour,player,WinUFE,short_win%,long_win%,steal_droplob,BP_conv%,forces_oppUFE,adjUFE
WOMEN,Marta Kostyuk,0.66,51.0,55.2,27.7,41.0,1.50,20.6
WOMEN,Martina Hingis,0.77,,,24.0,,-2.35,19.3
WOMEN,Martina Navratilova,1.16,,,31.2,,-8.45,15.4
WOMEN,Mary Pierce,1.01,,,29.0,,-1.98,17.6
WOMEN,Mayar Sherif,0.88,45.2,53.4,40.0,,-1.53,17.8
WOMEN,Mirra Andreeva,0.70,53.0,53.7,33.3,51.6,3.10,21.5
WOMEN,Monica Niculescu,1.05,44.5,,59.1,,3.24,16.5
WOMEN,Monica Seles,0.77,,,14.4,,-2.04,19.6
WOMEN,Naomi Osaka,0.76,51.1,53.8,16.2,48.3,-0.62,20.0
WOMEN,Nuria Parrizas Diaz,0.66,49.0,51.6,25.0,42.4,3.79,21.8
WOMEN,Olga Danilovic,0.89,49.4,47.1,21.4,50.6,-1.05,16.3
WOMEN,Ons Jabeur,0.75,49.0,50.7,52.2,42.6,1.04,19.2
WOMEN,Paula Badosa,0.86,51.7,47.5,32.4,45.7,-1.16,18.4
WOMEN,Petra Kvitova,0.80,50.1,57.4,22.8,37.8,-0.33,18.7
WOMEN,Petra Martic,0.74,48.6,44.0,33.3,,-1.62,21.0
WOMEN,Polona Hercog,0.57,49.5,58.1,37.0,,4.75,23.6
WOMEN,Qinwen Zheng,0.77,51.9,52.7,25.1,47.5,-0.62,17.8
WOMEN,Rebecca Peterson,0.77,46.6,51.3,23.2,,1.06,19.4
WOMEN,Sabine Lisicki,0.72,59.9,,38.8,,0.63,19.0
WOMEN,Samantha Stosur,0.76,47.0,,20.3,,-2.18,21.3
WOMEN,Sara Errani,0.90,46.0,49.7,40.2,,2.29,20.5
WOMEN,Sara Sorribes Tormo,0.77,49.9,48.2,39.3,46.3,2.37,20.3
WOMEN,Serena Williams,0.90,54.6,46.9,15.9,43.5,-1.69,17.6
WOMEN,Shelby Rogers,0.82,51.9,45.8,23.9,,1.33,18.8
WOMEN,Simona Halep,0.67,53.3,,23.2,,2.51,21.1
WOMEN,Sloane Stephens,0.59,50.3,55.4,19.0,45.3,0.79,20.7
WOMEN,Sofia Kenin,0.91,48.1,46.8,40.9,44.3,-1.24,17.9
WOMEN,Sorana Cirstea,0.85,51.2,45.8,26.4,44.1,-2.05,17.4
WOMEN,Steffi Graf,0.69,,,24.1,,-0.66,20.7
WOMEN,Su Wei Hsieh,0.86,47.8,51.1,48.1,,-0.16,19.5
WOMEN,Suzan Lamens,0.70,52.1,50.2,37.1,49.4,3.13,20.3
WOMEN,Svetlana Kuznetsova,0.89,52.9,,21.4,,2.20,18.4
WOMEN,Tamara Zidansek,0.58,50.5,51.3,28.7,,0.45,22.0
WOMEN,Timea Bacsinszky,0.70,,,40.2,,5.49,21.6
WOMEN,Venus Williams,0.68,47.4,47.6,13.2,,-0.09,20.5
WOMEN,Veronika Kudermetova,0.79,50.1,37.9,19.8,43.0,0.18,18.5
WOMEN,Victoria Azarenka,0.87,49.8,48.6,21.7,42.8,-1.14,18.3
WOMEN,Victoria Mboko,0.62,50.8,53.8,15.9,51.1,-0.15,20.9
WOMEN,Viktorija Golubic,0.74,45.3,49.4,35.5,,1.08,20.4
WOMEN,Xin Yu Wang,0.82,48.2,52.0,26.8,37.1,-1.78,19.0
WOMEN,Yafan Wang,0.78,44.7,45.7,29.9,,0.34,19.8
WOMEN,Yulia Putintseva,0.75,47.5,49.5,47.1,39.8,-0.29,19.7
